ds,yhat,yhat_lower,yhat_upper
2017-06-07,1767.2217238424798,1467.197201902451,2019.5743073670128
2017-06-08,1768.3891370638173,1479.5439291583637,2029.3762628015572
2017-06-09,1776.284297678437,1506.8236213758626,2046.8431002507434
2017-06-12,1791.069346480428,1502.1911792362555,2069.748370581772
2017-06-16,1813.4930584765757,1524.250063318654,2107.7712380692537
2017-06-19,1830.2712347451309,1548.4247781487622,2100.179588572872
2017-06-22,1841.5327968341387,1550.8635293138364,2126.1126257847195
2018-03-21,1804.5488145907373,1516.579296241182,2065.2055462955254
2018-03-22,1797.9253160435906,1527.1245282813845,2073.921709375211
2018-03-23,1797.5641004374902,1508.1039176328836,2085.9641379080535
2018-03-26,1785.8139659204514,1491.6218160504789,2065.7049540507664
2018-03-27,1780.3619220214484,1505.3660888682255,2070.4882615731126
2018-03-28,1778.005847567979,1501.6571894598962,2041.387000994903
2018-04-02,1767.0856693114952,1494.6444219816944,2027.1343891789377
2018-04-03,1764.2774274357764,1484.2119282467884,2034.6929679443085
2018-04-04,1764.808939516135,1485.2630125308458,2043.9531050495384
2018-04-05,1761.9654115054843,1478.6394196533236,2033.6786660076593
2018-04-06,1765.9665835556214,1483.981089192737,2040.9982260864645
2018-04-09,1769.8417412056058,1491.4050693872498,2044.0835396382665
2018-04-11,1773.5086901832633,1496.380544651539,2053.886135866292
2018-04-12,1773.3204838661559,1493.571982824039,2062.1381390532915
2018-04-13,1779.7059230246937,1482.094848472213,2055.1716148026285
2018-04-16,1788.774964083981,1490.9703529890405,2060.3808077889043
2018-04-17,1790.0324073927673,1505.6525310084915,2059.61421832566
2018-04-18,1794.0709488636198,1525.5523279502931,2079.497657924628
2018-04-19,1794.1273899790958,1513.9864625070402,2077.406264527595
2018-04-20,1800.3862521360318,1536.3254047641342,2082.4078153527266
2018-04-24,1806.883862430771,1530.047348990454,2101.6665642177277
2018-04-27,1811.7282166703326,1532.0427636277418,2100.683303546055
2018-04-30,1811.7347436072544,1532.2462049747521,2093.7124017429687
2018-05-02,1809.4494328159105,1531.9796442257266,2085.1909471375525
2018-05-03,1805.4610432509567,1541.4489875992494,2084.2550431480418
2018-05-04,1807.5967949732249,1537.6390771198292,2093.404731416188
2018-05-07,1802.030795178554,1539.2069641574444,2082.7599656356365
2018-05-08,1798.0558763820695,1508.222675263032,2086.511388705807
2018-05-09,1796.819151587202,1515.3387147268036,2073.6283049840868
2018-05-10,1791.6331397444587,1513.824047585731,2082.4909036420368
2018-05-11,1792.7533738161992,1516.5846453237777,2070.8587133305214
2018-05-14,1785.2269300703454,1500.4280388163277,2054.0614466361194
2018-05-15,1780.9494992503835,1497.8778293878906,2094.18847920692
2018-05-16,1779.5775152186736,1507.498354989857,2046.5147516280422
2018-05-17,1774.4179442078178,1506.257894960654,2055.0963428458317
2018-05-18,1775.7209538535897,1499.0836584004242,2046.650102047141
2018-05-21,1769.6366978761419,1503.068121874271,2057.9772273430976
2018-05-22,1766.1278590527836,1474.0827053395544,2034.1658332498182
2018-05-23,1765.6659622030031,1485.8028528048217,2031.844011495473
2018-05-24,1761.5579861925808,1478.4808449234265,2044.1049203479163
2018-05-25,1764.0548574491638,1479.956506302162,2037.4284814031198
2018-05-28,1762.4180862334354,1498.7204416281902,2036.0468859174541
2018-05-29,1760.6832734605641,1463.1630559031132,2032.372826622732
2018-05-30,1762.1404155135444,1479.7357215947106,2041.9915052976296
2018-05-31,1760.0936943707238,1470.6017049643954,2043.5284778292703
2018-06-01,1764.7889973084784,1489.7679579004468,2037.6849805177835
2018-06-04,1770.4775554949122,1484.2558064457457,2057.2766822171798
2018-06-05,1771.38024030591,1493.4969474067834,2036.9347258261553
2018-06-06,1775.5398208278816,1492.2946657154348,2047.821358362682
2018-06-07,1776.2350742908752,1506.5215150673864,2085.6090130898383
2018-06-08,1783.6828093563552,1486.6163982823025,2046.6370686450418
2018-06-13,1807.1181436405202,1520.8271333538441,2109.417638079049
2018-06-14,1809.8577477697543,1525.6788376176908,2091.895870430235
2018-06-15,1819.089203913775,1541.6669626869761,2102.0540915953493
2018-06-18,1836.157586450325,1561.8154434366293,2101.44481267711
2018-06-19,1839.8705184930932,1559.6273372011487,2118.6647827593033
2018-06-21,1849.291354873002,1561.4601733524328,2130.905337969009
2018-06-22,1857.9704029960058,1565.2650801503016,2150.9635472312602
2018-06-26,1871.990367230778,1602.8430611713204,2145.3715987524433
2018-06-27,1875.6069857442217,1592.1086955796732,2141.08039675257
2018-07-13,1841.1015114037693,1562.9421147901162,2116.1497565627033
2018-08-10,1908.7032714229224,1599.5457397558034,2195.496755964003
2018-08-14,1924.9982173561912,1654.1397805995957,2214.420292490604
2018-08-23,1932.0491715843596,1658.3182022184915,2236.962004809944
2018-09-03,1921.1800501124126,1660.3936247452953,2202.8181143843944
2018-09-04,1919.3970893243093,1649.66577844874,2198.692039768137
2018-09-05,1920.9041885771912,1636.9897761293198,2205.3488489485158
2018-09-07,1923.9500672441125,1643.3750706517594,2194.9780412696846
2018-09-10,1930.7890816445895,1662.1020729873474,2201.4605817679458
2018-09-11,1932.1264691180368,1668.5507599915413,2207.0878323398233
2018-09-12,1936.6910934623572,1662.0224280642592,2203.5748647229125
2018-09-14,1945.4010685633066,1642.091517783317,2225.0663548097195
2018-09-17,1958.7225373082742,1687.2867223001222,2231.4267854911186
2018-09-18,1961.4855719632494,1666.3015971174311,2234.225913308562
2018-09-19,1967.0458080470746,1695.1763215735143,2247.8386783738665
2018-09-20,1968.6184484187122,1680.0310083242725,2231.5065412801714
2018-09-21,1976.363900016057,1705.3244421720347,2251.0233244549036
2018-09-24,1987.0238399206469,1696.755002479129,2250.6826344496394
2018-09-25,1987.9786700428283,1697.7419344110115,2282.8057517461434
2018-09-26,1991.3088812898159,1705.1040309308519,2270.456759466558
2018-09-27,1990.2649525111362,1694.4010559772632,2284.078505037516
2018-09-28,1995.0497204080716,1721.8758292252992,2290.7507797041326
2018-09-29,2003.894043827375,1723.2688520178724,2278.749888284183
2018-10-01,1995.2768330708261,1709.0385553116446,2263.8015026538988
2018-10-02,1992.4314583838159,1730.4117913392336,2286.6304462999315
2018-10-03,1991.9050559973375,1732.3420507747912,2274.2122152951997
2018-10-04,1987.013249896704,1722.6672617128313,2280.506712064634
2018-10-05,1988.023830736387,1728.7836351739354,2271.9647128448373
2018-10-06,1993.2312304488973,1718.5124002928544,2272.29577290292
2018-10-08,1977.9924229534276,1700.3861360958979,2256.474987924591
2018-10-09,1972.2724128530688,1697.2218954021612,2243.9063067896627
2018-10-10,1969.2267052492216,1700.8116823202467,2257.87637682546
2018-10-11,1962.2113993133662,1673.4962337712977,2232.8055766648963
2018-10-12,1961.5274975670532,1695.2128224559135,2242.6574145702516
2018-10-13,1965.494773596425,1692.8360482591809,2224.5542862552034
2018-10-15,1949.1981862368727,1672.8460459880175,2240.8063829633147
2018-10-16,1943.6684521964935,1683.2201270554997,2223.8790993432517
2018-10-17,1941.283101153129,1667.0813641634536,2198.0274560998596
2018-10-18,1935.3803974734833,1657.930915803726,2204.71143549345
2018-10-20,1942.1334443596484,1670.924688586068,2223.5907300563695
2018-10-22,1930.7046797544372,1644.6640437475307,2197.7855165788665
2018-10-23,1928.0113858806303,1648.956730066486,2202.3765429779887
2018-10-24,1928.6557006762935,1639.0987525455412,2227.495176106417
2018-10-25,1925.9150065213432,1643.9714970768407,2219.575166407815
2018-10-26,1930.0010518085169,1655.5543745614784,2222.084446400428
2018-10-27,1939.135511412631,1662.1326533031297,2230.4089165360874
2018-10-29,1933.9397077182857,1635.9507168421408,2216.040806786161
2018-10-30,1934.1205889197429,1652.593703351897,2196.9258544807703
2018-10-31,1937.4013897035777,1647.8598307878774,2228.08294750891
2018-11-01,1937.008218030778,1670.6723882704653,2214.4235167457346
2018-11-02,1943.107447362494,1668.548000773885,2186.8361838394094
2018-11-03,1953.882173110903,1674.0741106809085,2213.908936096065
2018-11-05,1950.732290924451,1682.8510511406964,2213.3284121631355
2018-11-07,1954.4851398041883,1680.9833279349316,2240.1025060751513
2018-11-08,1953.572161974956,1669.455752854674,2253.8343845408035
2018-11-09,1958.7221073319433,1661.4272621144185,2236.043519820408
2018-11-10,1968.1396628362775,1692.7019168567224,2255.930928406272
2018-11-12,1961.179196476079,1698.0165358960453,2236.5972872940883
